,Summoner Name,LP,Wins,Losses,Win Rate
155,Flashbâng,164,44,452,8.87%
156,BlakeAustin,164,27,117,18.75%
157,best Taro NA,163,38,187,16.89%
158,Madelynn,162,35,186,15.84%
159,TTV DonKadabra,162,47,247,15.99%
160,F1 Flow,161,23,104,18.11%
161,Vitamnss,159,27,121,18.24%
162,lnaban,157,55,262,17.35%
163,vaIsartan,156,28,166,14.43%
164,Fanyeah,156,53,162,24.65%
165,atownrocky,156,34,149,18.58%
166,the OCE special,155,37,209,15.04%
167,Jeff Young,155,27,196,12.11%
168,Ralliartt,154,84,406,17.14%
169,themackerel,153,44,310,12.43%
170,Curbob,153,42,249,14.43%
171,zebroe,153,57,370,13.35%
172,Scoped32,153,34,163,17.26%
173,flanne,152,32,159,16.75%
174,Dairon TFT,152,26,90,22.41%
175,a wittle penguin,151,30,124,19.48%
176,Happiboy,150,47,303,13.43%
177,WANG SHUO ZHE,150,39,158,19.8%
178,Lion,150,36,200,15.25%
179,WakaWakaWaka,149,24,106,18.46%
180,WafWafWaffle,148,30,126,19.23%
181,yoohyeon fanclub,148,35,119,22.73%
182,Ecym tw,147,23,128,15.23%
183,George Brown,146,40,361,9.98%
184,Wonseok,146,31,139,18.24%
185,Youaresopretty,145,41,197,17.23%
186,ajmonsta,145,46,189,19.57%
187,Dekacchan,144,45,220,16.98%
188,Mikuya,143,48,256,15.79%
189,blackwhited,141,25,91,21.55%
190,suddenly heart,140,45,199,18.44%
191,Dios12138,131,33,202,14.04%
192,influrrier,129,74,397,15.71%
193,Gurt Games,125,31,203,13.25%
194,J or C,114,31,104,22.96%
195,Marquez,62,22,97,18.49%
196,Turn1Delver,48,60,367,14.05%
